userName,score,at,content
Ankit Oraon,5,2026-07-22 22:27:29,great
Amreesh Panwar,5,2026-07-22 22:26:47,gud
saurabh verma,1,2026-07-22 22:26:29,"They are thieves, reported of missing food items so many times but never got justification and refund of missing item,often cancellation of order in the night time, never deliver food on time adding my last review 2 years back... Having the same issues still, they are biggest thrives , never take accountability of spillage or food quality. and charges are always too high"
gangesh jha,1,2026-07-22 22:26:17,poor customer support
Hariom Kumar,4,2026-07-22 22:26:02,Nice 👌👌♥️♥️♥️
Kavi chaudhary,5,2026-07-22 22:24:27,Good
Vaishnavi Vaishu,5,2026-07-22 22:23:43,good 👍👍👍
Alladi Jyothirmai,5,2026-07-22 22:23:02,good
Ranjay,5,2026-07-22 22:21:50,good app
Shaik Abdulla Ahmed,5,2026-07-22 22:21:22,good
Ankit Chauhan,1,2026-07-22 22:19:46,"Extremely bad experience, no support, you can't give a full feedback too, only few prelisted issues. very disheartening."
Mohd Imran (Rana),5,2026-07-22 22:17:46,good 👍🏻
Sonu Chavan,5,2026-07-22 22:17:11,zomato best aap
Murupoju Srinu,5,2026-07-22 22:15:03,super 👌
Karthi mmk,5,2026-07-22 22:14:29,Nice
Josseph Sujatha Beulah,1,2026-07-22 22:13:51,The delivery partner called me but i didnt received the call then the partener click as delievered and take the order with himself. when i tried to report the issue they didnt give my order or refund. I am a gold member. everyone use swiggy dont use zomato its very worst.
Mayur Patel,5,2026-07-22 22:12:36,Wonderful time
Sareeka Deshmukh,2,2026-07-22 22:12:18,rate is too high and many additional charges toooo expensive
Daman Thakkar,5,2026-07-22 22:11:42,superb
PRATHAM Waghela,1,2026-07-22 22:11:12,guuu se bhi battar jaisa app
vipin saini,5,2026-07-22 22:10:24,good 👍👍😊😊
Priyanka Nalluri,1,2026-07-22 22:10:20,Fraud app ... They ( zomato ) will play with the customer.
Remika,5,2026-07-22 22:06:30,vary good
Lutfur Haque,3,2026-07-22 22:04:22,thik hain
YOUR TECHNO GURU,1,2026-07-22 22:02:51,we have ordered paneer do pyaza and got paneer mashroom taj this is wrong delivery.
Ramu Nag,5,2026-07-22 22:01:25,good app
Sandeep Sharma,1,2026-07-22 22:01:01,half kadhai paneer ke jagah quarter bhej dia
Umesh Akkampet,5,2026-07-22 22:00:15,it's good for PG boys & Good behaviour of delivery partner 🙏
Kushal Kumar,5,2026-07-22 21:59:37,nice app
dhana naidu,5,2026-07-22 21:59:05,super super
DHANISTH RATHVA (60),5,2026-07-22 21:58:47,Excellent 👍
Shiv Mohan,5,2026-07-22 21:58:04,good service
asraf ansari,5,2026-07-22 21:57:12,satisfy ok
suman saurabh,5,2026-07-22 21:54:05,good
abhishek sharma,1,2026-07-22 21:53:57,poor food not recommended to eat
SHIVAKUMAR JELLA,5,2026-07-22 21:53:37,good
Krishna Gond,1,2026-07-22 21:53:08,veryy poor delivery time only delay
ashad rehan,2,2026-07-22 21:52:59,price very high y
raja yadav,5,2026-07-22 21:52:11,good 😊
Noorjahan Shaik,5,2026-07-22 21:50:45,best app
Gohel Vishal,5,2026-07-22 21:50:33,Good
Harshada Kakade,5,2026-07-22 21:49:50,good quality of food and delivery
pintu sapkle,1,2026-07-22 21:49:15,hopeless service
Raghav singh,5,2026-07-22 21:47:36,good
Doulat Raza,4,2026-07-22 21:45:06,good service
Manikandan Jayachandran,5,2026-07-22 21:44:55,good
vinod kumar,5,2026-07-22 21:44:51,Good
Anuradha Tiwari,3,2026-07-22 21:43:33,good
Dhiraj 1702,2,2026-07-22 21:43:20,bad experience
Parth Maisuriya,5,2026-07-22 21:42:52,thank you
Anil SIngh,5,2026-07-22 21:41:36,Great experience
Shamsudeen Raja,5,2026-07-22 21:41:22,super
Dhananjay Kumar,5,2026-07-22 21:41:01,thank you
Raj jayant,4,2026-07-22 21:39:51,good
Shahil Shinde,5,2026-07-22 21:39:30,good
Mohd Anas,4,2026-07-22 21:39:11,nice app
Priyanka Kawde,3,2026-07-22 21:38:07,Thank you Zomato
Rohid R,1,2026-07-22 21:38:00,"the app sucks, mainly the customer support"
Sagun Awasthi,5,2026-07-22 21:36:45,bhola veg
gaurav chaurasia,1,2026-07-22 21:36:41,"Worst service. The address I filled in is not showing, and I am also unable to connect with customer support."
sathish kumar,2,2026-07-22 21:36:40,worst service never expected
Arjun Rathod,3,2026-07-22 21:35:58,Nice
Abdul farid,5,2026-07-22 21:33:41,Good
Anitha Wellness coach,1,2026-07-22 21:33:09,worst experience auto cancelling my order
Augustin Raj,5,2026-07-22 21:30:29,nice
Dnyaneshwar gaikwad,5,2026-07-22 21:29:35,good service
TUSHAR ALI,5,2026-07-22 21:28:42,good
parmod thakur,5,2026-07-22 21:24:25,ok
Tejas Bhat,1,2026-07-22 21:23:58,"Terrible customer support. My order arrived incomplete. I raised a concern with clear image proof and just asked for a refund or a coupon for the missing item. Instead of actually helping, support just spammed me with automated, boilerplate rejections over and over. They refuse to take accountability for their mistakes. Don't expect any real help from them if your order gets messed up!"
Abhinav kumar d,4,2026-07-22 21:22:59,good
Nagesh Manthani,5,2026-07-22 21:22:14,very nice
Monish Bhoi,5,2026-07-22 21:20:09,saves time
Arjun Koushal,5,2026-07-22 21:19:50,happy
Rahul Kumar,5,2026-07-22 21:19:47,good
Khushi Keshri,5,2026-07-22 21:19:31,very good
Tofil Jamadar,5,2026-07-22 21:19:08,nice
Yogesh Shivarkar,5,2026-07-22 21:18:29,good service 👍
Kailash_mankar_126 Mankar,4,2026-07-22 21:18:15,nice food 🤤
Hamant Thakur,4,2026-07-22 21:17:36,nice 👍
Ananya Srivastava,1,2026-07-22 21:17:11,customer support is not helpful at all
Happy Singh,5,2026-07-22 21:16:29,excellent
Sumit Koli,5,2026-07-22 21:14:51,nice zomato
Sagar Baga,5,2026-07-22 21:14:31,Good
Yenge Aniket,5,2026-07-22 21:12:41,good
Sasirekha,5,2026-07-22 21:11:56,super
Mamatha Potharaveni,5,2026-07-22 21:11:43,nice 👍
dharmendra kumar singh,5,2026-07-22 21:11:35,good
Sunny Manni,3,2026-07-22 21:10:56,good of come to same product
Raju Yadwade,4,2026-07-22 21:09:15,best
Manaswi Patil,5,2026-07-22 21:08:27,I love your process
Swayam Gurjar,5,2026-07-22 21:07:12,great
Subhash Tank,5,2026-07-22 21:06:23,good job
35Anish Dhuri,5,2026-07-22 21:05:15,No thanks
ravi sankar,5,2026-07-22 21:05:06,very good and good offers
Sheik Basheer,4,2026-07-22 21:03:37,super
Guriya Mishra,5,2026-07-22 21:02:29,ok
Arjun Rawat,1,2026-07-22 21:01:06,delivery time too late and delivery man annoyingly cancel the order
Dharavathu Sandeep,5,2026-07-22 21:00:57,pls reduce the prices brooo
Anantha Raghava,4,2026-07-22 21:00:38,Good
Viraj Kumar,5,2026-07-22 21:00:18,very wonderful idea
Rafiya Sultana,4,2026-07-22 20:58:34,good
Suvarna Govind,1,2026-07-22 20:57:48,"Misleading delivery time. This has happened to me many times. Before placing the order, the app shows around 30 minutes delivery. After payment, it suddenly changes to 76 minutes or more. When I try to cancel because of the delay, they charge 100% cancellation fee. I have lost money because of this more than once. This feels very unfair and misleading. Please don't trust the delivery time shown in this app."
nyamthabad rahul,4,2026-07-22 20:54:12,good
VAKAPALLI DEVI POSI MALLESWARA RAO,3,2026-07-22 20:52:57,not easy to use
Samarth Yadav,4,2026-07-22 20:51:00,avg
Narasimha Chowdary Kommuri,5,2026-07-22 20:50:48,sharp delivery
Sonali Mehra,5,2026-07-22 20:50:06,nice sarvice
avinash sharma,5,2026-07-22 20:47:51,cravings gone in minutes. Just Zomato and chill
Heidi H,1,2026-07-22 20:46:19,not good
Snehashish Jana,3,2026-07-22 20:45:13,good
Vijay Thakre,5,2026-07-22 20:44:52,nice odar
Gyanprakash maurya,5,2026-07-22 20:44:01,good
