userName,score,at,content
Akhil chandoriya,1,2026-07-28 19:37:15,"I am extremely disappointed with Swiggy's customer support. My issue has remained unresolved for several months. Despite sending multiple emails and contacting support repeatedly, I either receive the same copy-paste responses or no response at all. My concern has never been properly investigated or resolved. This has caused unnecessary mental harassment, wasted my time, and left me with no option except approaching the Consumer Commission. I expected much better service from a company like Swig"
Shiv Shakti,1,2026-07-28 19:36:43,"I am extremely disappointed with Swiggy's customer support. My issue has remained unresolved for several months. Despite sending multiple emails and contacting support repeatedly, I either receive the same copy-paste responses or no response at all. My concern has never been properly investigated or resolved. This has caused unnecessary mental harassment, wasted my time, and left me with no option except approaching the Consumer Commission. I expected much better service from a company like Swig"
Akhil,1,2026-07-28 19:36:09,"I am extremely disappointed with Swiggy's customer support. My issue has remained unresolved for several months. Despite sending multiple emails and contacting support repeatedly, I either receive the same copy-paste responses or no response at all. My concern has never been properly investigated or resolved. This has caused unnecessary mental harassment, wasted my time, and left me with no option except approaching the Consumer Commission. I expected much better service from a company like Swig"
MANIKANTA PADALA,1,2026-07-28 19:36:08,"worst app, the customer care is not helping"
Lanke Anjaneyulu,5,2026-07-28 19:30:15,good
Yash,1,2026-07-28 19:29:18,fake app my payment return
Pilla Suribabu,1,2026-07-28 19:24:58,"The worest app I ever experienced. Killing the money with more and more taxes . The food was delivering very slowly , which takes fore than 1 hour and I ordered The food by my near by restaurant within 1 KM ."
Dillip Ray,3,2026-07-28 19:21:06,nice
Milan Paliwal,1,2026-07-28 19:20:51,showing fake coupons.
Rani Rani,1,2026-07-28 19:19:44,late due
S w,1,2026-07-28 19:19:06,"Trying to delete my account, they won't let you do that. It says ongoing order!!!!!! They won't even let you delete the app, they are not following the law. this is disgusting. illegal activities"
Ravindra Sharma,5,2026-07-28 19:18:23,very very good food app
Ali Ahmed Laskar,5,2026-07-28 19:17:13,good
Rahul Kumar,3,2026-07-28 19:12:32,very good
Chandan gowda. A Chandu,5,2026-07-28 19:10:42,good
Neha Ghavari,5,2026-07-28 19:07:11,love all food
Mhadevi waghmare,5,2026-07-28 19:05:51,exlent
Anil Jakhar,1,2026-07-28 19:03:17,"मदन जी हलवाई की बर्फी बिल्कुल बकवास है , शुगर ही शुगर,👹"
akash pareek,1,2026-07-28 19:00:30,I order food. Some items were missing and others were of poor quality. worst chat support ever. why to have support option when you don't want to really help. there chat bot wasted more than hour. still could not understand my problem and contineously close the complaint without resolution. could not connect with Any agent . such a Fraud service.
Rajan Padole,5,2026-07-28 18:59:52,Good 👍
Vidyasagar M S,1,2026-07-28 18:57:19,"I am a Swiggy one black user, whenever I try open tracking , app is crashing and unable to track the food. Today even I have updated to latest version , even then no luck"
Abhishek Kumar,1,2026-07-28 18:54:34,"Very disappointing experience with Swiggy. The service was pathetic, the delivery was extremely delayed, and the food arrived cold. What made the experience even worse was the support team, who repeatedly provided incorrect information instead of being transparent about the delay. Poor customer service, lack of accountability, and an unacceptable delivery experience. I expected much better from Swiggy."
salman malik,5,2026-07-28 18:51:28,5 star
vicky P,1,2026-07-28 18:49:06,bad experience
Mohit Pareek,1,2026-07-28 18:42:42,i order food . some items were Missing and other were of poor quality. worst Chat support ever . Why to Have support Option when you don't want to really Help. Bot wasted more than of Hour and still was not able to resolve my issue. Could not connect with any Agent . Such a fraud behaviour.
RK ATCHAYA,5,2026-07-28 18:42:28,good
Ankit Y,1,2026-07-28 18:39:49,pathetic service support. won't let me cancel incorrectly made order even if immediately
Priyanshi Nagdive,5,2026-07-28 18:25:37,ok
Shiva M,5,2026-07-28 18:20:21,nice app
MD sajjad Khan,5,2026-07-28 18:18:46,good
Sandesh Patil,5,2026-07-28 18:15:38,good
Lokesh Kumar Yadav,5,2026-07-28 18:13:15,best delivery
Ashok Sharma,5,2026-07-28 18:13:06,Good one Application best service
Mangalsri Mangalsri,5,2026-07-28 18:11:39,good
Krutika Patil,2,2026-07-28 18:03:11,taxes applied are very high on orders
Jineshkaramal Jinu,4,2026-07-28 18:01:11,excellent
Sahwaj Ansari,5,2026-07-28 17:46:52,good
Chandini Nikku,5,2026-07-28 17:45:55,good
Jograj Singh (Jogsaa),5,2026-07-28 17:43:40,good
Kavita Mehra,5,2026-07-28 17:42:17,fast delivery
Nisha Singh,3,2026-07-28 17:40:58,good
Mayur Patil,5,2026-07-28 17:38:40,good 👍🏻
Aziz Akhtar,5,2026-07-28 17:38:36,"very good ,& Fast delevry"
Raju vedios,5,2026-07-28 17:34:25,good
Sanatan Nayak,4,2026-07-28 17:28:57,good
GOWTHAM GORLI,1,2026-07-28 17:26:01,more price infinity
ZARIN Khan,5,2026-07-28 17:22:02,best food delivery app
Prashant Rawat,1,2026-07-28 17:15:45,Always late
Guru J,4,2026-07-28 17:13:57,awesome
Gohil Dushalsinh,5,2026-07-28 17:13:02,best affordable price meals
Saroj Mandal,5,2026-07-28 17:05:30,wonderful
Shubham Pund,1,2026-07-28 17:03:31,Third class service. more then 1 hour happened .Still my order not received.
Shilpi raghav,1,2026-07-28 16:52:31,very late
Veerbhadra Singh,5,2026-07-28 16:51:23,nice
Subash Subashbose,5,2026-07-28 16:48:24,excellent
pawan chauhan,5,2026-07-28 16:45:40,good
Shehnaz Saifee,1,2026-07-28 16:44:38,fraud.....worst experience....don't use swiggy rather than use blink it or zomato.....they never refund your money.....zomato is much better than swiggy in every manner their executive properly attained the customers...but swiggy never attained customer nor refund any amount
VINAY KUMAR PRAJAPATI,5,2026-07-28 16:39:25,very nice
Jay Raikwar Raikwar,1,2026-07-28 16:37:24,GST charges both Le lete Hain
Manoj Teja,5,2026-07-28 16:36:13,super
Snehashish Kalamkar,1,2026-07-28 16:32:22,"Worst experience. Swiggy is a scam delivery app. They started guaranteed delivery sometime back. If not delivered within time they provide coupons back, I think it was ₹75 coupon. The food i ordered showed guaranteed delivery within 1hr. But it took 1.5 hrs. And guess what, on contacting Swiggy support these scammers upfront told they cannot do anything. Stay away from this app."
Priyanka Gupta,5,2026-07-28 16:27:47,Good
Shashank Mishra,5,2026-07-28 16:18:20,very good
THANMAY M,1,2026-07-28 16:14:48,overpricing is at peak even zomato won't do such overpricing very bad....... zomato>>>
sanjay “Sanju” chanaliya,5,2026-07-28 16:10:35,best delivery
Meganathan Nathan,5,2026-07-28 16:09:16,🥰👍
Sai Bhanu,5,2026-07-28 16:08:18,good
Zafar Munshi,5,2026-07-28 16:02:50,good
Shamal Karlekar,5,2026-07-28 16:02:12,nice
Farhan Mirza,5,2026-07-28 16:01:05,very nice app
Vittalreddy Kondeti,5,2026-07-28 16:00:51,ultimate service 👍🥳
B Soumya,1,2026-07-28 15:58:30,delivery late
DEEPIKA DEEPI,4,2026-07-28 15:56:17,ok
LAVANYA JAIN,1,2026-07-28 15:50:44,charged me 100 percebt cancellation on an order they delivered an hout late
Manu H M,1,2026-07-28 15:46:20,worst pick service
Sagad,5,2026-07-28 15:45:32,achcha hai
Neta Prajapati,5,2026-07-28 15:43:55,Neta Prajapati 👌👌👌
Vinay Katwal,5,2026-07-28 15:42:14,Good
Shilpa Neerudi,5,2026-07-28 15:39:50,super
Sultan Zikran,5,2026-07-28 15:33:37,perfect 👍 service
Pasaya Ajit s Pasaya Ajit s,5,2026-07-28 15:32:36,👍
Rayyan Azmi,5,2026-07-28 15:31:42,fast delivery
Ujjwal Joshi,1,2026-07-28 15:29:40,this was my go though app for food but from few orders I m disappointed ordered two items and was received one at restaurant I called n asked but details by swiggy was not given ... also they charged double for the same order my order was missing and they took my money fraud 😒 this is not the first time glitch they do this purposely I m uninstalling the app. fraud
Ramesh Kesarapu,4,2026-07-28 15:27:09,super
Ramesh Remo,5,2026-07-28 15:26:54,i love Swiggy
Urvi Mansata,4,2026-07-28 15:21:24,supar fast delivery
AKASH SHETTY,5,2026-07-28 15:20:10,beautiful and wonderful 👍
Prabhu Shankar,5,2026-07-28 15:19:08,Good
Mallisetty Malyadri,3,2026-07-28 15:18:06,good
Sanjana,5,2026-07-28 15:17:24,Gooood app
Mohamee asir Mohamed asir 321#,5,2026-07-28 15:14:14,best
Shahid baig,5,2026-07-28 15:11:23,gud discount
Rajesh Mittal,1,2026-07-28 15:10:10,Very Worst Service Order takes more than 90 minutes to deliver within 3-4 kms of area
Swrang Brahma,5,2026-07-28 15:08:51,good
Vikash singh Vikash singh,5,2026-07-28 15:08:37,nice 🙂
Kapil Soni,1,2026-07-28 15:05:59,order 1 hour me bhi deliver nhi krte h or cancel karne pe pese bhi refund ni krte h
Seema Kuriakose,5,2026-07-28 15:02:04,Good 💯😊
Shubham Saroya,1,2026-07-28 15:01:41,bad
Dev Kumar,5,2026-07-28 15:00:45,nice 👍 ji great job 👏
Guru Prasad,1,2026-07-28 15:00:09,"It's time to uninstall and stop using the app. they are arrogant for their own mistakes, if the order is not delivered it's minimum responsibility that they need to refund the money. if that's not happening why should someone trust the online delivery apps. it's not because of one order, after facing multiple incidents writing this review."
mohd waseem ansari's,3,2026-07-28 14:56:30,delivery charge bahut hai
Babu Mog,3,2026-07-28 14:54:59,Good
Siddharth Chaudhary,1,2026-07-28 14:54:40,I am not able to sign in from four months very bad. Don't know why.
YOGESH KUMAR,4,2026-07-28 14:54:36,good n well
Sarojit Biswas,5,2026-07-28 14:50:03,very nice
Yug Bhuvaji,5,2026-07-28 14:49:24,nice
Stalin T,1,2026-07-28 14:48:21,"I boarded the train at 6:00 AM without even having breakfast. I ordered lunch through Swiggy, but even after the train had left the station, I still didn't receive my food. However, the order status was updated as ""Delivered."" When I contacted customer support, they simply claimed that the food had been handed over to me, which is completely false.To make matters worse, they didn't even issue a refund"
Chithra Chithra,5,2026-07-28 14:43:31,nice
Krishna Priya K,1,2026-07-28 14:41:28,I was checking the price of the product and seeing if cod is available so that I can order later.... but by mistake I touched pay and next second order got placed... i tried to cancel it so many times but I was not able to and when when I went help and support also they where not even helping they just directly showed ordered can't be cancelled there was. o option to chat also.... the chat was closed right there
Anand Padhi,5,2026-07-28 14:40:37,Good Discounts and Cashback. Delivery is very fast and Easy.
Mr Ansh,3,2026-07-28 14:38:11,emergency best solution 👌
Rupal Jani,5,2026-07-28 14:34:31,good
Pilot Chungkrang,3,2026-07-28 14:31:44,nice
Gulshan Majoka,5,2026-07-28 14:28:47,good
Harshdeep Arora,1,2026-07-28 14:28:01,app is crashing
Kanti rathor,5,2026-07-28 14:27:50,Good 👍
Pavithra G,5,2026-07-28 14:27:01,poor delivery charges
Vivek Bhalavi,5,2026-07-28 14:23:47,good
Sumat Saxena,1,2026-07-28 14:23:17,Totally cheater App many time I have paid for the order but after open the meal found less amount of item like ordered full but received qtr or half but whenever complainted no proper responsible and authenticated customer support available. I have faced many issue but never found any refund yesterday too I have faced same issue but nobody to care. so anybody who is using this app definitely under risk of cheating.
Manish Sonik,1,2026-07-28 14:22:17,"yesterday I'm buying a, yogabar protein they're sent me expired or leaked pack provide me, how's disgusting, maine jab yogabar protein packet open Kiya toh usme kide pade hue the, joh chal rahe the yogabar protein k andar socho kitna bura hua hai mere saath, toh koi bhi Swiggy Instamart se order mat karna, yeh expired or leaked maal bech rahe hain, mere saath yeh hua kisi aur k saath aisa na ho, isiliye review dal raha hu, Swiggy Instamart How could you do this to us? This is playing with all ou"
Sukrati Pandey,5,2026-07-28 14:19:07,good delivery agent is very humble and on time
Abidunnisa Shaik,5,2026-07-28 14:16:15,good 👍
Subhamay Banerjee,5,2026-07-28 14:13:12,I need Good Service .
Kommu Sreekanth,1,2026-07-28 14:12:50,"while orders free offers shows but not delivered, fooling with free offers"
Apsal Khan,5,2026-07-28 14:12:34,good
Satya prasad Vishwakarma,5,2026-07-28 14:12:15,good
saravanan k,4,2026-07-28 14:10:14,ok
VIJAYALAKSHMI_MANIKANDAN,4,2026-07-28 14:09:20,good delivery
Kasturi Nayak,3,2026-07-28 14:07:30,price is not affordable....high
ratika johari,2,2026-07-28 14:05:55,offer is very bad
Sumathi Sumathi,5,2026-07-28 13:55:07,super
Tarnish Mahey,5,2026-07-28 13:52:19,good
MR RAAVANAN,5,2026-07-28 13:47:54,good 💯
Manasa Rega,5,2026-07-28 13:47:35,good customer service I love it food
Dipak Bhosale,5,2026-07-28 13:41:45,good 👍
Yeshwant Shedde,4,2026-07-28 13:40:47,disappointed with limited stocking of items frustrating!
Deva Ghosh,5,2026-07-28 13:37:20,good 👍😊
AKRAM AJRU,5,2026-07-28 13:30:57,good app cash on delivery
shaik shakeer,5,2026-07-28 13:30:29,superb
Sumit Rathour,5,2026-07-28 13:27:31,good
Anik Roy,5,2026-07-28 13:27:25,good
Mohammed Asif,5,2026-07-28 13:22:08,outstanding 😊
Sarathy “Vijay” Sarathy,5,2026-07-28 13:18:29,super
Vikramx Rana,4,2026-07-28 13:18:11,Great
Rc_ 3358,5,2026-07-28 13:15:01,ok
VENKAT SV,5,2026-07-28 13:11:24,good
Ubbarapu Harikrishna,3,2026-07-28 13:10:53,super
Srinu Gorapalli,5,2026-07-28 13:09:25,super
Rahul KUMAR,5,2026-07-28 13:07:20,Good service
doredla harshagopi,5,2026-07-28 13:06:46,nice
Gaurav Bro 999,4,2026-07-28 13:02:23,nice
RAJKAPUR KUMAR,2,2026-07-28 13:01:21,best
Aravind Shahir,5,2026-07-28 12:54:25,good food 😋
Sasmita Baral,5,2026-07-28 12:53:25,nice
Priyanka Gupta,5,2026-07-28 12:52:36,lowest and best food
Ravinder Kumar (Choudhary ji),5,2026-07-28 12:52:22,nice 👍
Gopinadh Krishna,1,2026-07-28 12:50:10,Dear Swiggy team. I am disappointed with your so called complaint chat bot. Today I have raised a complaint regarding items missing. two options come up you want to report or do you want to speak with an agent. yes I want to report this obviously. then next I see is conversation closed.no way to reactivate it again. what about my money lost. I am deleting my account also.
Makvana Kuldip,5,2026-07-28 12:48:41,good
Taninki Satya,5,2026-07-28 12:44:56,good
Anita Devi,5,2026-07-28 12:43:51,Good 👍😊
Narayana narayana,2,2026-07-28 12:43:04,good
Harish Swami,5,2026-07-28 12:42:43,very exilent
Ganesh Naidu,5,2026-07-28 12:34:39,good
Mallesha Mallesha,5,2026-07-28 12:33:04,super fas
parashu jogin,5,2026-07-28 12:32:13,very good 👏🏻
Malika Wadde,1,2026-07-28 12:29:56,not good
Tinku Bawri,5,2026-07-28 12:27:22,good
Naresh Naresh goud,5,2026-07-28 12:21:46,super
Preeti Pandey,5,2026-07-28 12:20:30,good
Akmal Hussain,1,2026-07-28 12:18:06,good
Asim Hossain,5,2026-07-28 12:09:30,woow
Sushil Singh,3,2026-07-28 12:03:27,thank you so much Swiggy
SANTOSH KUMAR,5,2026-07-28 12:03:21,yummy delicious 😋😋
Gollo,4,2026-07-28 11:52:08,good 👍
marpinavaralakshmi,5,2026-07-28 11:43:08,best
Anish Naik,1,2026-07-28 11:37:00,"upload functionality is broken on your app , when trying to upload anything for return or anything it just restarts app"
Krunal Kale,5,2026-07-28 11:34:18,best
vikas sukla,1,2026-07-28 11:27:11,"Swiggy एवं Domino's टीम, कल रात लगभग 12 बजे मैंने Domino's का पिज़्ज़ा Swiggy के माध्यम से ऑर्डर किया। मुझे जो पिज़्ज़ा मिला, वह पहले से खुला हुआ था। इतना ही नहीं, मैंने अपनी आंखों से देखा कि डिलीवरी पार्टनर ने अपने बैग से पिज़्ज़ा निकालकर हाथ से पकड़ते हुए उसे बॉक्स में रखा। यह घटना बेहद गंभीर है और खाद्य सुरक्षा व स्वच्छता के नियमों का स्पष्ट उल्लंघन है। यदि Domino's ने पिज़्ज़ा सही तरीके से सील करके दिया होता, तो रास्ते में उसे खोलना संभव नहीं होना चाहिए था।"
harshil kumbhani,5,2026-07-28 11:26:09,it was great
Priyanshu Sharma,5,2026-07-28 11:24:26,nice
Abhi Rajput,5,2026-07-28 11:23:03,good
Sreela,1,2026-07-28 11:20:32,swiggy big cheats since several years I.am their regular customer.few days back I had ordered chicken sausages. on opening I found several sausages were broken .on complaining they said they can't help...I had no option but to throw that packet coz I can't take risk with my families health .if by any chance my kids had eaten those sausages namaste fallen sick who.would hv been responsible bloody swiggy....blinkit is 1000 times better than swiggy
Chandru Jackson,5,2026-07-28 11:19:06,good
Aditya Thakur,1,2026-07-28 11:14:09,poor quality
Akash Adak,1,2026-07-28 11:09:23,Why do people spend 10–15 minutes scrolling before ordering?
Shanmuga Shanmuga,5,2026-07-28 10:56:52,good to use
Omkar Bhandare,1,2026-07-28 10:40:33,they have listed some of the worst restaurants so I request them to upload photos of restaurant so one can decide whether to order or not .
Vinay Sayal,5,2026-07-28 10:32:52,"⭐⭐⭐⭐⭐ Great service fast delivery tasty food, and excellent packaging Keep up the good work"
Ravi Sahni,5,2026-07-28 10:11:21,good
Nisha Upadhyay,4,2026-07-28 10:10:07,good
Dhola Jiger,1,2026-07-28 09:47:28,very bad custemar servis
Darshil Rathod,1,2026-07-28 09:01:47,These are scammers the food i ordered come after 1hr 30 mins and the food was cold and the swiggy staff was not supportive as well after follow up twice a day for 2 days straight they are not given any solution to my query swiggy is a scammer they just take ur money and dont provide u the service u deserve order from zomato atleast they are quick to solve the queries worst app this company should shut down they are scammers dont order from this app
Dinesh kumar Yadav,1,2026-07-28 08:37:04,very costly
Dharshan YG,1,2026-07-28 08:27:09,"There are Few important things: 1. they Raise the price of all dishes. 2. add extra tax over and above the raised price. 3. Their Subscription is a scam. 4. they take such huge amount from us for delivery and don't pay similar money to delivery boy. 5. by mistake if the order is wrong, it's world war to get reimbursement."
Thanga Mani,5,2026-07-28 07:58:11,good
ಮಾದೇವ,5,2026-07-28 07:36:48,good Food 🥰
Sandeep Kumar,1,2026-07-28 07:31:15,"Every restaurant is 8 km away, and for that everything is super expensive. Because your free delivery limit is only 7 km."
Satish Singh,1,2026-07-28 06:55:28,very poor service 😡😡
Anmol Raj,5,2026-07-28 06:37:10,thanks love 😘
nimish jadhav,5,2026-07-28 06:14:30,good app
kailash rai,5,2026-07-28 05:33:09,good experience fast service One of the best company in Bangalore
The Challenger,1,2026-07-28 04:21:13,"don't download this most useless app ever, I can't even Sign up, I try 20 times but this useless app can't let me do this"
Raziya Zaina,1,2026-07-28 04:17:00,stealing money from old users and giving offers to new users SCAM order was confirmed by swiggy but no items and no refund i need my 3k back
Abhijeet Vaze,1,2026-07-28 04:00:58,"Forget the app. That's worse than a trivial thing. They have pathetic service. Late night orders are susceptible to theft, pilferage, non delivery. I felt like I am in Africa"
Sohel Mulla,5,2026-07-28 03:24:26,good
Mohsin Divekar,1,2026-07-28 03:05:06,The service is degrading everyday. I think it's time to say good bye. There's always a restaurant or a delivery partner issue. For some reason they don't want to deliver after accepting the delivery or will deliver after an hour or so where it should not take more than 10-15 minutes.
Aditya Kumar,1,2026-07-28 02:50:37,Horrible experience... post order you will get no assistance from Swiggy so prefer any other platform over Swiggy.
Wasi Shaikh,5,2026-07-28 02:46:59,good👍
Akshat Sagar,1,2026-07-28 02:05:29,"worst experience if I add 200 rupee item it is showing item price is 400 I can't understand what kind of addition this app is using and after that taking 60,70 rupees tax and 40 ,50 rupees delivery and adding more charges"
Abhijit Debnath,1,2026-07-28 02:05:22,the customer service is worst
GAUTAM MEGHWAL,5,2026-07-28 01:45:45,first and last option for bad and good times🤍
Sa Sa,4,2026-07-28 01:45:11,good 👍
bibinkuttan pulikkal,5,2026-07-28 01:40:25,ordar good
Sahil Goyal,1,2026-07-28 01:28:17,worse delivery app with poor customer support and fraud riders
Shivani Chauhan,5,2026-07-28 01:26:32,very good response
preethika 2007,5,2026-07-28 01:21:36,good delivery
Mijarul hassan,5,2026-07-28 01:15:54,nice
Shambhu Patel,5,2026-07-28 01:11:32,okay
MD Belal,5,2026-07-28 01:07:53,wow
TUSHAR CHOUDHARY,5,2026-07-28 01:07:33,good
Shubham Patel,4,2026-07-28 01:05:16,okk
